,City_x,State,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Country Code,pop_thou,avg_5_yr_growth_thou,Percent Fertile,chrstpct,judpct,islmpct,budpct,zorpct,hinpct,sikhpct,shntpct,bahpct,taopct,jainpct,conpct,synpct,anmpct,nonpct,othrpct,sumpct,Country,City_y,AvgTemperature,pct_lt_sec,pct_some_sec,pct_some_ter
33,Barcelona,None,128.49176470588233,77.44000000000001,57.31235294117647,72.53764705882354,67.01,12.474705882352943,31.29235294117647,68.88,ESP,5223.0,288.0,46.72027823721074,,,,,,,,,,,,,,,,,,Spain,None,58.69515432764961,0.15000000000000002,0.33,0.22
34,Barcelona,None,128.49176470588233,77.44000000000001,57.31235294117647,72.53764705882354,67.01,12.474705882352943,31.29235294117647,68.88,ESP,5223.0,288.0,46.72027823721074,,,,,,,,,,,,,,,,,,Spain,Madrid,58.4405352903085,0.15000000000000002,0.33,0.22
35,Beijing,None,61.21499999999999,65.26071428571429,59.04428571428572,63.01428571428573,47.931428571428576,39.91714285714287,45.16428571428571,90.13857142857144,CHN,20258.0,3796.0,52.97310596864593,0.11599999999999999,0.0,0.05,0.252,0.0,0.0,0.0,0.0,0.0,0.0034,0.0,0.0,0.42,0.0399,0.325,0.0027,0.0,China,Beijing,54.719976257284614,0.21000000000000002,0.45,0.10500000000000001
36,Beijing,None,61.21499999999999,65.26071428571429,59.04428571428572,63.01428571428573,47.931428571428576,39.91714285714287,45.16428571428571,90.13857142857144,CHN,20258.0,3796.0,52.97310596864593,0.11599999999999999,0.0,0.05,0.252,0.0,0.0,0.0,0.0,0.0,0.0034,0.0,0.0,0.42,0.0399,0.325,0.0027,0.0,China,None,62.60468379020056,0.21000000000000002,0.45,0.10500000000000001
37,Beijing,None,61.21499999999999,65.26071428571429,59.04428571428572,63.01428571428573,47.931428571428576,39.91714285714287,45.16428571428571,90.13857142857144,CHN,20258.0,3796.0,52.97310596864593,0.11599999999999999,0.0,0.05,0.252,0.0,0.0,0.0,0.0,0.0,0.0034,0.0,0.0,0.42,0.0399,0.325,0.0027,0.0,China,None,72.82991582128169,0.21000000000000002,0.45,0.10500000000000001
38,Beijing,None,61.21499999999999,65.26071428571429,59.04428571428572,63.01428571428573,47.931428571428576,39.91714285714287,45.16428571428571,90.13857142857144,CHN,20258.0,3796.0,52.97310596864593,0.11599999999999999,0.0,0.05,0.252,0.0,0.0,0.0,0.0,0.0,0.0034,0.0,0.0,0.42,0.0399,0.325,0.0027,0.0,China,Shanghai,62.87304122598743,0.21000000000000002,0.45,0.10500000000000001
39,Beijing,None,61.21499999999999,65.26071428571429,59.04428571428572,63.01428571428573,47.931428571428576,39.91714285714287,45.16428571428571,90.13857142857144,CHN,20258.0,3796.0,52.97310596864593,0.11599999999999999,0.0,0.05,0.252,0.0,0.0,0.0,0.0,0.0,0.0034,0.0,0.0,0.42,0.0399,0.325,0.0027,0.0,China,None,46.88934700485679,0.21000000000000002,0.45,0.10500000000000001
40,Beirut,None,77.98533333333334,46.16866666666667,52.339999999999996,66.97733333333332,67.79666666666667,16.206666666666667,38.60066666666666,91.44333333333333,LBN,,,53.919390263164615,,,,,,,,,,,,,,,,,,Lebanon,Beirut,69.39838117850216,0.19,0.3,0.21500000000000002
41,Belfast,None,177.04000000000002,89.31400000000001,60.50600000000001,63.86800000000001,69.548,4.304,34.344,23.226,GBR,608.0,12.0,45.680610662694775,,,,,,,,,,,,,,,,,,United Kingdom,Belfast,49.648305633498744,0.20500000000000002,0.38,0.28
42,Belfast,None,177.04000000000002,89.31400000000001,60.50600000000001,63.86800000000001,69.548,4.304,34.344,23.226,GBR,608.0,12.0,45.680610662694775,,,,,,,,,,,,,,,,,,United Kingdom,London,52.36522771422388,0.20500000000000002,0.38,0.28
43,Belgrade,None,93.78666666666668,39.20888888888888,62.24944444444444,53.901111111111106,43.608888888888885,20.764444444444443,31.313888888888894,62.729444444444454,SRB,,,46.67632332757697,,,,,,,,,,,,,,,,,,,,,0.060000000000000005,0.575,0.14500000000000002
44,Belo Horizonte,None,93.79,30.503999999999998,33.806,60.03399999999999,41.854,20.657999999999998,46.661,54.54699999999999,BRA,5698.0,288.0,54.59654890159675,1.7646,0.0012,0.0004,0.0026,0.0,0.0,0.0,0.0008,0.0002,0.0,0.0,0.0,0.0002,0.023,0.085,0.0063,0.0,Brazil,Brasilia,70.36527088279735,0.195,0.305,0.10500000000000001
45,Belo Horizonte,None,93.79,30.503999999999998,33.806,60.03399999999999,41.854,20.657999999999998,46.661,54.54699999999999,BRA,5698.0,288.0,54.59654890159675,1.7646,0.0012,0.0004,0.0026,0.0,0.0,0.0,0.0008,0.0002,0.0,0.0,0.0,0.0002,0.023,0.085,0.0063,0.0,Brazil,Rio de Janeiro,73.19683756071244,0.195,0.305,0.10500000000000001
46,Belo Horizonte,None,93.79,30.503999999999998,33.806,60.03399999999999,41.854,20.657999999999998,46.661,54.54699999999999,BRA,5698.0,288.0,54.59654890159675,1.7646,0.0012,0.0004,0.0026,0.0,0.0,0.0,0.0008,0.0002,0.0,0.0,0.0,0.0002,0.023,0.085,0.0063,0.0,Brazil,Sao Paulo,66.8327973235487,0.195,0.305,0.10500000000000001
47,Bergen,None,190.51666666666665,97.12666666666667,79.83666666666666,83.37333333333333,133.54666666666665,8.356666666666667,28.723333333333333,18.313333333333333,NOR,,,47.21715191753158,1.6802000000000001,0.0004,0.0408,0.0056,0.0,0.0011,0.0002,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.1105,0.0246,0.0,Norway,Oslo,40.9233720447946,0.015,0.415,0.315
48,Berlin,None,174.9235294117647,107.64176470588237,63.84999999999999,72.06882352941174,72.75941176470587,8.76941176470588,34.387647058823525,37.29470588235294,DEU,3554.0,78.0,43.06582000928394,,,,,,,,,,,,,,,,,,Germany,None,-46.86804979253114,0.04,0.485,0.3
49,Berlin,None,174.9235294117647,107.64176470588237,63.84999999999999,72.06882352941174,72.75941176470587,8.76941176470588,34.387647058823525,37.29470588235294,DEU,3554.0,78.0,43.06582000928394,,,,,,,,,,,,,,,,,,Germany,Frankfurt,-13.668786266924569,0.04,0.485,0.3
50,Berlin,None,174.9235294117647,107.64176470588237,63.84999999999999,72.06882352941174,72.75941176470587,8.76941176470588,34.387647058823525,37.29470588235294,DEU,3554.0,78.0,43.06582000928394,,,,,,,,,,,,,,,,,,Germany,Hamburg,-13.390460921843708,0.04,0.485,0.3
51,Berlin,None,174.9235294117647,107.64176470588237,63.84999999999999,72.06882352941174,72.75941176470587,8.76941176470588,34.387647058823525,37.29470588235294,DEU,3554.0,78.0,43.06582000928394,,,,,,,,,,,,,,,,,,Germany,Munich,46.14548264858409,0.04,0.485,0.3
52,Birmingham,None,150.63166666666666,84.47166666666665,41.68666666666667,73.76,67.08166666666666,7.566666666666666,33.895,47.26,GBR,2518.0,88.0,45.680610662694775,,,,,,,,,,,,,,,,,,United Kingdom,Belfast,49.648305633498744,0.20500000000000002,0.38,0.28
53,Birmingham,None,150.63166666666666,84.47166666666665,41.68666666666667,73.76,67.08166666666666,7.566666666666666,33.895,47.26,GBR,2518.0,88.0,45.680610662694775,,,,,,,,,,,,,,,,,,United Kingdom,London,52.36522771422388,0.20500000000000002,0.38,0.28
54,Bogota,None,71.64666666666668,32.38,41.86722222222223,67.44166666666666,41.07111111111111,20.58833333333333,48.242222222222225,71.42333333333335,COL,9655.0,1114.0,53.84956011767587,1.9402,0.0004,0.0012,0.0,0.0,0.0002,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0088,0.015,0.0041,0.0,Colombia,Bogota,55.24395639974073,0.25,0.28500000000000003,0.19
55,Bologna,None,139.885,56.42,55.265,78.1875,72.8275,10.5625,32.47,55.3325,ITA,782.0,20.0,43.344133495931544,1.5878,0.0012,0.0232,0.0002,0.0,0.0001,0.0004,0.0,0.0001,0.0,0.0,0.0,0.0008,0.0,0.1868,0.0055,0.0,Italy,Milan,54.195920569825184,0.135,0.385,0.125
56,Bologna,None,139.885,56.42,55.265,78.1875,72.8275,10.5625,32.47,55.3325,ITA,782.0,20.0,43.344133495931544,1.5878,0.0012,0.0232,0.0002,0.0,0.0001,0.0004,0.0,0.0001,0.0,0.0,0.0,0.0008,0.0,0.1868,0.0055,0.0,Italy,Rome,60.22482192963531,0.135,0.385,0.125
57,Boston, MA,182.5470588235294,116.6429411764706,63.45352941176469,76.50529411764707,88.09882352941176,7.065294117647058,43.19117647058823,25.04764705882353,USA,,,,1.4907999999999997,0.038099999999999995,0.018000000000000002,0.0218,0.0053,0.0057,0.0013,0.0005,0.0015,0.0,0.0003,0.0003,0.0026,0.0057,0.19,0.0025,0.0,,,,0.035,0.505,0.33999999999999997
58,Brasilia,None,131.31076923076924,55.128461538461536,37.443076923076916,46.24153846153846,48.629230769230766,13.301538461538463,29.341538461538462,32.515384615384626,BRA,4125.0,403.0,54.59654890159675,1.7646,0.0012,0.0004,0.0026,0.0,0.0,0.0,0.0008,0.0002,0.0,0.0,0.0,0.0002,0.023,0.085,0.0063,0.0,Brazil,Brasilia,70.36527088279735,0.195,0.305,0.10500000000000001
59,Brasilia,None,131.31076923076924,55.128461538461536,37.443076923076916,46.24153846153846,48.629230769230766,13.301538461538463,29.341538461538462,32.515384615384626,BRA,4125.0,403.0,54.59654890159675,1.7646,0.0012,0.0004,0.0026,0.0,0.0,0.0,0.0008,0.0002,0.0,0.0,0.0,0.0002,0.023,0.085,0.0063,0.0,Brazil,Rio de Janeiro,73.19683756071244,0.195,0.305,0.10500000000000001
60,Brasilia,None,131.31076923076924,55.128461538461536,37.443076923076916,46.24153846153846,48.629230769230766,13.301538461538463,29.341538461538462,32.515384615384626,BRA,4125.0,403.0,54.59654890159675,1.7646,0.0012,0.0004,0.0026,0.0,0.0,0.0,0.0008,0.0002,0.0,0.0,0.0,0.0002,0.023,0.085,0.0063,0.0,Brazil,Sao Paulo,66.8327973235487,0.195,0.305,0.10500000000000001
61,Brasov,None,108.43,36.93,73.44,32.59,43.3,11.29,27.5,19.87,ROU,,,47.32502514434918,,,,,,,,,,,,,,,,,,Romania,Bucharest,52.36450464062177,0.060000000000000005,0.545,0.14
62,Bratislava,None,145.31785714285715,65.72999999999999,68.525,59.902142857142856,51.82071428571428,12.37142857142857,32.02928571428571,41.99,SVK,401.0,-12.0,49.79595686068356,,,,,,,,,,,,,,,,,,Slovakia,Bratislava,51.4464601769912,0.0,0.715,0.14
63,Brisbane,None,188.3694444444444,115.60222222222221,62.95388888888889,80.93444444444442,87.9311111111111,6.263888888888889,43.75222222222223,22.50222222222222,AUS,2208.0,175.0,47.94035927121619,1.46,0.002,0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1542,0.0673,0.0,Australia,Brisbane,68.07249082667806,0.07500000000000001,0.44,0.33
64,Brisbane,None,188.3694444444444,115.60222222222221,62.95388888888889,80.93444444444442,87.9311111111111,6.263888888888889,43.75222222222223,22.50222222222222,AUS,2208.0,175.0,47.94035927121619,1.46,0.002,0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1542,0.0673,0.0,Australia,Canberra,55.57968918627248,0.07500000000000001,0.44,0.33
65,Brisbane,None,188.3694444444444,115.60222222222221,62.95388888888889,80.93444444444442,87.9311111111111,6.263888888888889,43.75222222222223,22.50222222222222,AUS,2208.0,175.0,47.94035927121619,1.46,0.002,0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1542,0.0673,0.0,Australia,Melbourne,64.71940427368841,0.07500000000000001,0.44,0.33
66,Brisbane,None,188.3694444444444,115.60222222222221,62.95388888888889,80.93444444444442,87.9311111111111,6.263888888888889,43.75222222222223,22.50222222222222,AUS,2208.0,175.0,47.94035927121619,1.46,0.002,0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1542,0.0673,0.0,Australia,Perth,62.25062594431242,0.07500000000000001,0.44,0.33
67,Brisbane,None,188.3694444444444,115.60222222222221,62.95388888888889,80.93444444444442,87.9311111111111,6.263888888888889,43.75222222222223,22.50222222222222,AUS,2208.0,175.0,47.94035927121619,1.46,0.002,0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1542,0.0673,0.0,Australia,Sydney,57.54925534211086,0.07500000000000001,0.44,0.33
68,Bristol,None,166.26875,93.285,60.68625000000001,75.18375,74.77125000000001,9.70875,28.14625,42.01375,GBR,648.0,35.0,45.680610662694775,,,,,,,,,,,,,,,,,,United Kingdom,Belfast,49.648305633498744,0.20500000000000002,0.38,0.28
69,Bristol,None,166.26875,93.285,60.68625000000001,75.18375,74.77125000000001,9.70875,28.14625,42.01375,GBR,648.0,35.0,45.680610662694775,,,,,,,,,,,,,,,,,,United Kingdom,London,52.36522771422388,0.20500000000000002,0.38,0.28
70,Brno,None,149.26055555555556,71.01777777777778,70.58722222222222,69.85722222222222,49.19111111111111,11.167777777777777,27.073333333333338,44.513888888888886,,391.0,6.0,,,,,,,,,,,,,,,,,,,Bolivia,None,44.86714871573494,,,
71,Brno,None,149.26055555555556,71.01777777777778,70.58722222222222,69.85722222222222,49.19111111111111,11.167777777777777,27.073333333333338,44.513888888888886,,391.0,6.0,,,,,,,,,,,,,,,,,,,Czech Republic,Prague,47.60325922728247,,,
72,Brno,None,149.26055555555556,71.01777777777778,70.58722222222222,69.85722222222222,49.19111111111111,11.167777777777777,27.073333333333338,44.513888888888886,,391.0,6.0,,,,,,,,,,,,,,,,,,,Equador,None,73.72174616878895,,,
73,Brno,None,149.26055555555556,71.01777777777778,70.58722222222222,69.85722222222222,49.19111111111111,11.167777777777777,27.073333333333338,44.513888888888886,,391.0,6.0,,,,,,,,,,,,,,,,,,,Equador,Quito,42.43536351165968,,,
74,Brno,None,149.26055555555556,71.01777777777778,70.58722222222222,69.85722222222222,49.19111111111111,11.167777777777777,27.073333333333338,44.513888888888886,,391.0,6.0,,,,,,,,,,,,,,,,,,,Ivory Coast,None,75.1399525145691,,,
75,Brno,None,149.26055555555556,71.01777777777778,70.58722222222222,69.85722222222222,49.19111111111111,11.167777777777777,27.073333333333338,44.513888888888886,,391.0,6.0,,,,,,,,,,,,,,,,,,,Laos,None,79.96746168789109,,,
